InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
146,maib1239,,Maybrat-Karon,dol2007maybrat,,Einav Levanon,,
147,mehe1243,,Mehek,hatfield2016mehek,,Einav Levanon,,
148,mezq1235,,Mezquital Otomi,BlightEunice1976,ote_SPA1979_phon.pdf,Steven Moran,,97
149,mian1256,,Mian,fedden2007mian,,Einav Levanon,,
150,miga1241,,Migabac,migabac2005mcevoy,,Einav Levanon,,
151,mlah1239,,Mlahsö,jastrow2011turoyomlahso,,KurdistanDB,,
152,hebr1245,,Modern Hebrew,schwarzwald2011modernhebrew,,Elad Eisen,,
153,mong1330,,Mongolia Buriat,skribnik2003buryat,,Eitan Grossman,,
154,halh1238,,Mongolian,svantesson2005mongolian,,Elad Eisen,,
156,mudu1242,,Muduapa,bachet2006muduapa,,Einav Levanon,,
157,munj1244,,Munji,williamson2017munji,,Dmitry Nikolaev,,
158,halk1245,musq1240,Musqueam,suttles2004musqueam,,NA,,
159,muss1246,,Mussau-Emira,brownie2007mussau,,Einav Levanon,,
160,sout2857,,Nahavaq,dimock2009nahavaq,,Einav Levanon,,
161,naka1262,,Nakanai,chowning2016nakanai,,Einav Levanon,,
162,nama1264,nama1265,Nama,Beach1938,naq_SPA1979_phon.pdf,Steven Moran,,155
163,nava1243,,Navajo,SapirHoijer1967,nav_SPA1979_phon.pdf,Steven Moran,,66
164,naxi1245,,Naxi,michailovsky2006naxi,,Dmitry Nikolaev,,
165,ngka1235,,Ngkontar Ngkolmpu,carroll2016ngkolmpu,,Einav Levanon,,
166,nhan1238,,Nhanda,blevins2001nhanda,,Eitan Grossman,,
167,nucl1633,,Nimboran,"may1997nimboran, anceaux2013nimboran",,Einav Levanon,,
168,noga1249,,Nogai,"csato1998noghay, baskakov1996noghay",,Dmitry Nikolaev,,
169,nort2697,,North Azerbaijani,HouseholderLofti1965,aze_SPA1979_phon.pdf,Steven Moran,,187
170,mans1258,,Northern Mansi,"rombandejeva1989mansi, rombandejeva1973mansi, zhornik2019mansi",,Daria Zhornik,,
172,bamb1262,,Northern Mao (Bambassi),ahland2012bambassi,,Eitan Grossman,,
173,nuuc1236,,Nuu-chah-nulth,"SapirMorris1939,SapirMorris1955,Jacobsen1969",noo_SPA1979_phon.pdf,Steven Moran,,70
174,ocot1243,,Ocotepec Mixtec,alexander1988ocotepecmixtec,,Eitan Grossman,,
175,copa1236,ocot1242,Ocotepec,faarlund2012chiapaszoque,,Eitan Grossman,,
176,kalm1243,,Oirad-Kalmyk,"blasing2003kalmyk, say2009kalmyk",,Dmitry Nikolaev,,
177,oira1263,,Oirata,faust2006oirata,,Einav Levanon,,
178,olut1240,,Oluta Popoluca,zavala2000olutec,,Eitan Grossman,,
179,paez1247,,Páez,gerdel1973paez,,Steven Moran,,102
180,paiw1248,,Paiwan,"ferrell1982paiwan, chang2006paiwan",,Eitan Grossman,,
181,para1311,,Paraguayan Guaraní,"GregoresSuarez1967,Lunt1973,Uldall1956",gug_SPA1979_phon.pdf,Steven Moran,,119
