"InventoryID","BorrowingLanguageGlottocode","BorrowedSound","SourceLanguageGlottocode","OnlyInLoanwords","Result","NewDistinction","PhonemeComments","Verified","Glottocode","LanguageName","BibTexKey","Filename","Contributor","MetadataComments","PhoibleID","ClosestNeighbor","family_id","parent_id","name","bookkeeping","level","status","latitude","longitude","iso639P3code","description","markup_description","child_family_count","child_language_count","child_dialect_count","country_ids","glottocode","isocodes","macroarea"
286,"kwaz1243","z","aika1237","no","new phoneme","voicing in fricatives","[z] and [ð] are allophones of the same phoneme","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
286,"kwaz1243","ʒ","macr1272","yes","new phoneme","voicing in fricatives","NA","NA","kwaz1243","Kwaza","vandervoort2004kwaza","NA","Konstantin Filatov","NA","NA","NA","","","Kwaza","False","language","severely endangered",-11.6667,-61.1833,"xwa",NA,NA,0,0,0,"BR","kwaz1243","xwa","South America"
287,"slov1269","d̠ʒ","unknown","mostly","new phoneme","no","(there is voiceless/voiced contrast for alveolar affricate and postalveolar fricative)","NA","slov1269","Slovak","hanulikova2010slovak","NA","Vasilisa Zhigulskaya","NA","NA","NA","indo1319","czec1260","Slovak","False","language","vulnerable",48.545705,18.78479,"slk",NA,NA,0,0,0,"AT CZ HU PL RS SK UA","slov1269","slk","Eurasia"
287,"slov1269","ɔː","unknown","yes","new phoneme","no","(there is length constrast for other vowels)","NA","slov1269","Slovak","hanulikova2010slovak","NA","Vasilisa Zhigulskaya","NA","NA","NA","indo1319","czec1260","Slovak","False","language","vulnerable",48.545705,18.78479,"slk",NA,NA,0,0,0,"AT CZ HU PL RS SK UA","slov1269","slk","Eurasia"
289,"high1276","b","stan1288","no","unknown","to be checked","(in lexicalized expressions and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","d","stan1288","no","unknown","to be checked","(in lexicalized expressions and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","dʲ","stan1288","no","unknown","palato-alveolar","(in ideophones, in lexicalized expressions, and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","f","stan1288","yes","unknown","to be checked","(rarely in borrowed forms - not included into the sound inventory)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","ɡ","stan1288","no","unknown","to be checked","(in lexicalized expressions and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","ɲ","stan1288","no","unknown","to be checked","(in ideophones, in lexicalized expressions, and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","ʃ","stan1288","no","unknown","palato-alveolar","(in ideophones, in lexicalized expressions, and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","tʲ","stan1288","no","unknown","palato-alveolar","(in ideophones, in lexicalized expressions, and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","ts","stan1288","no","unknown","palato-alveolar","(in ideophones, in lexicalized expressions, and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
289,"high1276","t̠ʃ","stan1288","no","unknown","palato-alveolar","(in ideophones, in lexicalized expressions, and in Spanish borrowings)","NA","high1276","Highland Popoluca","dejong2009sierrapopoluca","NA","NA","NA","NA","NA","mixe1284","gulf1238","Highland Popoluca","False","language","vulnerable",18.198,-94.9109,"poi",NA,NA,0,0,0,"MX","high1276","poi","North America"
290,"sout2672","f","arab1395, dari1249, pash1269","yes","unknown","to be checked","Arabic loans are mediated by Dari and Pushtu","NA","sout2672","Southeastern Pashayi","lamuwal2013southeastpashayi","NA","NA","NA","NA","NA","indo1319","east2322","Southeast Pashayi","False","language","vulnerable",34.43099,70.30351,"psi",NA,NA,0,0,5,"AF","sout2672","psi","Eurasia"
290,"sout2672","q","arab1395, dari1249, pash1269","yes","unknown","to be checked","Arabic loans are mediated by Dari and Pushtu","NA","sout2672","Southeastern Pashayi","lamuwal2013southeastpashayi","NA","NA","NA","NA","NA","indo1319","east2322","Southeast Pashayi","False","language","vulnerable",34.43099,70.30351,"psi",NA,NA,0,0,5,"AF","sout2672","psi","Eurasia"
291,"wich1264","r","stan1288","yes","new phoneme","to be checked","(only attested in the loanword tractor > tractorwo)","NA","wich1264","Wichí Lhamtés Güisnay (Misón La Paz dialect)","1984_Avram2008","1984_Avram2008.pdf","Ezequiel Koile","NA","1984","NA","mata1289","wich1261","Wichí Lhamtés Güisnay","False","language","vulnerable",-23.1633,-62.1757,"mzh",NA,NA,0,0,0,"AR BO PY","wich1264","mzh","South America"
294,"basq1248","ɡ","stan1288, basq1248","yes","phonologization of allophone","to be checked","(not deleted in intervocalic position in recent borrowings)","NA","basq1248","Goizueta Basque","hualde2010goizuetabasque","NA","Pavel Duryagin","NA","NA","NA","","","Basque","False","language","vulnerable",43.2787,-1.31622,"eus",NA,NA,0,0,11,"ES FR","basq1248","eus","Eurasia"
295,"huam1247","ɲ","stan1288","yes","unknown","to be checked","in loanwords","NA","huam1247","Huambisa","pena2015huambisa","http://linguistics.berkeley.edu/~saphon/en/inv/Huambisa.html","Dasha Bikina","NA","1948","NA","jiva1245","shua1256","Huambisa","False","language","definitely endangered",-3.99109,-77.9797,"hub",NA,NA,0,0,0,"PE","huam1247","hub","South America"
295,"huam1247","ʔ","unknown","no","new phoneme","to be checked","only attested in interjections and several Spanish loanwords","NA","huam1247","Huambisa","pena2015huambisa","http://linguistics.berkeley.edu/~saphon/en/inv/Huambisa.html","Dasha Bikina","NA","1948","NA","jiva1245","shua1256","Huambisa","False","language","definitely endangered",-3.99109,-77.9797,"hub",NA,NA,0,0,0,"PE","huam1247","hub","South America"
