"InventoryID","BorrowingLanguageGlottocode","BorrowedSound","SourceLanguageGlottocode","OnlyInLoanwords","Result","NewDistinction","PhonemeComments","Verified","Glottocode","LanguageName","BibTexKey","Filename","Contributor","MetadataComments","PhoibleID","ClosestNeighbor"
320,"copi1238","n̤d̤ɮ̤","unknown","unknown","to be checked","to be checked",NA,NA,"copi1238","Copi","gowlett2003copi","xho_Gowlett2003.pdf","Elad Eisen",NA,1318,NA
320,"copi1238","ʃ","unknown","unknown","to be checked","to be checked",NA,NA,"copi1238","Copi","gowlett2003copi","xho_Gowlett2003.pdf","Elad Eisen",NA,1318,NA
320,"copi1238","tl","unknown","unknown","to be checked","to be checked",NA,NA,"copi1238","Copi","gowlett2003copi","xho_Gowlett2003.pdf","Elad Eisen",NA,1318,NA
320,"copi1238","tlʱ","unknown","unknown","to be checked","to be checked",NA,NA,"copi1238","Copi","gowlett2003copi","xho_Gowlett2003.pdf","Elad Eisen",NA,1318,NA
321,"idom1241","l","haus1257","yes","new phoneme","lateral","Other source languages too",NA,"idom1241","Idoma","1536_idu","idu_Blench2010.pdf","Elad Eisen",NA,1536,NA
322,"nucl1440","b","unknown","no","other distributional change","to be checked","""Occurs very rarely in final positions in indigenous Masalit""",NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","f","unknown","mostly","other distributional change","to be checked","""/f/ is rare in indigenous Masalit lexemes. Occurs very rarely in final positions in indigenous Masalit""",NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","h","suda1235","mostly","other distributional change","to be checked","""/h/ is rare in indigenous Masalit lexemes. Medial /h/ is very rare in indigenous Masalit lexemes. """,NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","l","unknown","no","other distributional change","to be checked","""Occurs very rarely in final positions in indigenous Masalit""",NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","s","unknown","no","other distributional change","to be checked","""Occurs very rarely in final positions in indigenous Masalit""",NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","t","unknown","no","other distributional change","to be checked","""Occurs very rarely in final positions in indigenous Masalit""",NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","x","suda1235","yes","new phoneme","to be checked",NA,NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
322,"nucl1440","z","suda1235","yes","new phoneme","to be checked",NA,NA,"nucl1440","Masalit","1565_mls","mls_Edgar1989.pdf","Elad Eisen",NA,1565,NA
323,"nubi1253","ð","suda1235, stan1293","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","ħ","suda1235","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","ɱ","suda1235, stan1293","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","ŋ","suda1235, stan1293","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","q","suda1235","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","ɽ","suda1235, stan1293","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","x","suda1235","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","ʔ","suda1235","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
323,"nubi1253","θ","suda1235, stan1293","unknown","unknown","to be checked","""The consonants in parentheses in the chart have a marginal status and occur in Arabic and English loanwords, or as the result of phonological processes.""",NA,"nubi1253","Nubi","kcn_wellens2003","kcn_wellens2003_phon.pdf","Elad Eisen",NA,967,NA
324,"wage1238","ʎ","unknown","yes","new phoneme","to be checked",NA,NA,"wage1238","Wageman/Wagiman","cook1987wagiman",NA,"Elad Eisen","Data from Erich Round",NA,NA
325,"waal1238","d","unknown","no","other distributional change","to be checked","one loanword in which there's intervocalic [d] and not [ɖ]",NA,"waal1238","Waalubal","crowley1978bandjalang",NA,"Elad Eisen","Data from Erich Round",NA,NA
326,"umbu1235","ɛː","unknown","yes","new phoneme","to be checked","There exists native short /ɛ/",NA,"umbu1235","Umbugarla","davies1989umbugarla",NA,"Elad Eisen","Data from Erich Round",NA,NA
327,"badi1246","o","unknown","yes","unknown","to be checked",NA,NA,"badi1246","Badimaya","dunn1988badimaya",NA,"Elad Eisen","Data from Erich Round",NA,NA
328,"gune1238","ɘ","ngal1292, remb1249","mostly","unknown","to be checked","""[The] phonemic realisation ranges across [ɨ], [ʉ] and [ɘ]""",NA,"gune1238","Kune","evans2003bininjgunwok",NA,"Elad Eisen","Data from Erich Round",NA,NA
